No.,Gloss,PT,Siamese,Sapa,Bao Yen,Cao Bang,Lungchow,Shangsi,Yay,Saek
463,dried up,*ʰre:ŋC,hɛ:ŋC1,heŋC1,,,,,re:ŋC1,hɛ:ŋC1 -i -v
464,dry,*χaɰB,,,kʰɤɰB1,kʰɤɰB1,kʰaɰB1,hoyB1,,hɯ:B1 -v
465,wet,*domA,,,,,tumA2,tomA2,,
466,mute,*ŋwamC,,,wamC,,wamC,wamC,ŋamC2,
467,dumb,*ɓɤɰC,bajC1,,,bɤɰC1,,,,
468,easy,*ŋa:jB,ŋa:jB2,ŋa:jB2,ŋa:jB2,ŋa:jB2,,,ŋa:jB2,ŋa:jB2
469,drunk (1),*mawA,mawA2,mawA2,mɤwA2,,mawA2,mawA2,,mawA2
470,drunk (2),*mwi:A,,,,,,moyA2,,
471,sterile,*ʰmanA,manA1,manA1,manA1,manA1,,,manA1,manA1
472,entangled,*ɲuŋB/C,juŋB2,,ɲuŋB2,,juŋC1 -t,,ɲuŋC2,ɲuŋC2
473,blistered,*bo:ŋA,pʰɔ:ŋA2,,pɔ:ŋA2,,,,poŋA2,pʰɔ:ŋA2
474,expensive,*be:ŋA,pʰɛ:ŋA2,peŋA2,,b̤ɛŋA2,pe:ŋA2,peŋA2,peŋA2,
475,familiar,*gunC,kʰunC2,,,,,,kunC2,kʰunC2
476,asleep,*ɗakD,,,dakDS1,dakDS1,dakB1,dakDS1,dakDS1,dakDS1
477,hungry,*ˀjɯǝkD,ja:kDL1,,ja:kDL1,ja:kDL1,ja:kDS1,jykDL1,jiəkDL1,juəkDS2
478,satiated,*ʔi:mB,ʔimB1,ʔimB1,ʔi:mB1,ɁimB1,ʔimB1,ɁɤmB1,ʔimB1,ʔi:mB1
479,swollen,*gaɰB,,kaɰC1 -t,kɤɰB2,g̈ɤɰB2,kaɰB2,kʰoyB2,,
480,stiff and tired,*mɯəjB,mɯəjB2,mujB2,mɯəjB2,,,,mɯəjB2,
481,"tired, exhausted",*ʰnɯəjB,nɯəjB1,nujB1,nɯəjB1,nɯəjB1,,,,
482,lazy,*kli:kD,,,,,,kikDL1,cikDS1,tli:kDL1
483,"tired, bored",*ʰna:jB,na:jB1,na:jB1,na:jB1,,na:jB1,na:jB1,na:jB1,na:jB1
484,"idle, free",*ɗwɤ:jA,da:jA1,,da:jA1,da:jA1,da:jA1,duyA1,,dɤ:jA1
485,disgusted,*ɓɯəB,bɯəB1,bɯB1,bɯəB1,bɯəB1,bɯ:B1,byB1,bɯəB1,
486,crazy,*ɓa:C,ba:C1,ba:C1,ba:C1,ba:C1,ba:C1,,,
487,hurt (1),*cepD,cepDS1,cipDS1,cepDS1,cepDS1,cipDS1,,,
488,hurt (2),*ke:tD,,,,,,ketDL1,cetDL1,ke:tDL1
489,torn,*qa:tD,kʰa:tDL1,xa:tDL1,kʰa:tDL1,kʰa:tDL1,kʰa:tDL1,,ka:tDL1,ka:tDL1
490,plugged,*sakA,,,,ɬakDS1,,sakDS1 -i,,
491,bruised (1),*ɟamC,cʰamC2,,camC2,,,,camC2,samC2
492,bruised (2),*wokD,fokDS2,,pʰokDS2,vokDS2,,fokDL2 -v,fokDS2,vɔkDS2
493,lost,*ʰloŋA,loŋA1,luŋA1,loŋA1,loŋA1,luŋB1,,loŋA1,lɔŋA1
494,alive,*ɲaŋA,jaŋA2,,ɲaŋA2,ɲaŋA2,,,,
495,"strong, strength",*re:ŋA,rɛ:ŋA2,heŋA2,rɛ:ŋA2,rɛŋA2,ɬe:ŋA2,leŋA2,reŋA2,re:ŋA2
,H. Verbs,,,,,,,,,
496,"weave, to (cloth)",*tamB,tamB1,tamB1,tamB1,tamB1,tamB1,tamB1,tamC1,tamB1
497,"dye, to",*ɲwu:mC,jɔ:mC2,ɲomC2,ɲɔ:mC2,ɲɔmC2,jo:mC2,ɲomC2,ɲumC2,ɲumC2
498,"sew, to",*ɲepD,jepDS2,ɲapDS1,ɲapDS2 -v,ɲapDS2,japDS2 -v,ɲipDS2,ɲipDS2,ɲipDS2
499,"embroider, to",*se:wB,,sewB1,tʰɛ:wB1,ɬɛwB1,,,,
500,"weave, to (baskets, mats)",*sa:n,sa:nA1,sa:nA1,tʰa:nA1,ɬa:nA1,ɬa:nA1,ɬa:nA1,θa:nA1,sa:nA1
501,"sow, to; scatter, to",*C̥.wa:lB,wa:nB1,va:nB1,wa:nB1,wa:nA1,va:nB1,wa:nB1,,va:lB1
502,"transplant, to",*t.namA,damA1,,damA1,damA1,damA1,damA1,damA1,tramA1
503,"plant, to",*plwɯ:kD,plu:kDL1,puʔDL1,,pjukDL1,pjɤ:kDL1,pokDL1,,plɔ:kDL1
504,"sift, to",*qrɤŋA,kʰɯŋA1,sɯŋA1,sɤŋA1,sɤŋA1,kʰjɤŋA1,laŋA1,,raŋA1
505,"imprison, to",*k.raŋA,kʰaŋA1,saŋA1,saŋA1,saŋA1,haŋA1,,caŋA1,tʰraŋA1
506,"hunt, to",*p.rawB,,tawB1,pʰjɤwB1,,pʰjawB1,,tawB1,
507,"mark, to; aim, to",*ʰma:jA,ma:jA1,ma:jA1,ma:jA1,ma:jA1,,,ma:jA1,ma:jA1
508,"shoot, to",*ɲɯŋA,jiŋA2,,,,jaŋA2,,ŋiŋA2,ŋiŋA2
509,"poison (fish), to",*C̥.bɯəA,bɯəA1,bɯA1,bɯəA1,bɯəA1,bɯ:A1,,,viəA1
510,"tend animal, to",*ɟɯǝŋC,,cɯəŋC2,,zɯəŋC2,cʰɤ:ŋC2,syŋC2,siəŋC2,
511,"raise, to",*liəŋC,liəŋC2,liəŋC2,liəŋC2,liəŋC2,,,,liəŋC2
512,"make noise, to",*ɗaŋA,daŋA1,,daŋA1,daŋA1,,,daŋA1,
513,"differ, to",*ta:ŋB,ta:ŋB1,,,ta:ŋB1,ta:ŋB1,,ta:ŋB1,ta:ŋB1
514,"count, to",*napD,napDS2,,napDS2,,,,,napDS2
515,"heap up, to",*ko:ŋA,kɔ:ŋA1,,kɔ:ŋA1,,,,koŋA1,kɔ:ŋA1
516,"weigh, to",*ɟaŋB,cʰaŋB2,,,,saŋB2,,saŋB2,saŋB2
517,"announce, to",*pa:wB,pa:wB1,pa:wB1,pa:wB1,pa:wB1,,,pa:wB1,pa:wB1
518,"answer, to",*χa:nA,kʰa:nA1,xa:nA1,kʰa:nA1,kʰa:nA1,,,ha:nA1,ŋa:nA1 -i
519,"ask, to",*c.ra:mA,tʰa:mA1,tʰa:mA1,tʰa:mA1,sa:mA1,tʰa:mA1,tʰa:mA1,sa:mA1,tʰa:mA1
520,"beg, to",*k.ro:A,kʰɔ:A1,soA1,sɔ:A1,sɔA1,ho:A1,løA1,,tʰrɔ:A1
521,"order, to; blow the nose, to",*saŋB,saŋB1,saŋB1,tʰaŋB1,ɬaŋB1,ɬaŋB2,ɬaŋB1,θaŋB1,saŋB1
522,"scold, to; revile, to",*ɗa:B,da:B1,da:B1,,da:B1,da:B1,da:B1,daB1,
523,"warn,to",*tɯǝnA,tɯǝnA1,,,,,,tɯənB1,
524,"weep, to",*t.hajC,ha:jC1,,hajC1,hajC1,hajC1,hajC1,tajC1,
525,"moan, to",*gra:ŋA,kʰra:ŋA2,ca:ŋA2,ca:ŋA2,za:ŋA2,,,,
526,"bark, to",*ʰrawB,hawB1,hawB1,hawB1,hawB1 -v,hawB1,hawB1,rawB1,hawB1 -i
527,"crow, to",*χalA,kʰanA1,xanA1,kʰanA1,kʰanA1,kʰanA1,hanA1,hanA1,halA1
528,"laugh, to",*krɯəwA,huəA1,,kʰuəA1,kʰuəA1,hu:A1,liwA1,riəwA1,ruəwA1
529,"recite, to",*ʔa:nB,ʔa:nB1,ʔa:nB1,ʔa:nB1,Ɂa:nB1,ʔa:nB1,,,ʔa:nB1
530,"open (the mouth), to",*ʔa:C,ʔa:C1,ʔa:C1,ʔa:C1,Ɂa:C1,ʔa:C1,,ʔaC2,ʔa:C1
531,"eat, to",*kɯɲA,kinA1,kinA1,kinA1,kinA1,kinA1,kɤnA1,kɯnA1,kinA1
532,"chew, to",*giəwC,kʰiəwC2,kewC2,kɛ:wC2,hgɛwC2,,kʰewC2,cewC2,
533,"lick, to",*C̬.lwiəA,liəA2,,,liA2 -v,li:A2,liA2,riəA2,liəA2
534,"put out of the mouth, to",*ɣa:jA,kʰa:jA2,xa:jA2,kʰa:jA2,ga:jA2,,,ha:jA2,ɣa:jA2
535,"vomit, to",*rwɯəkD,ra:kDL2,haʔDL2,ra:kDL2,ra:kDL2,ɬa:kDL2,lukDL2,ruəkDL2,ruəkDL2
536,"take a bite, to",*katD,katDS1,katDS1,,,katDS1,,katDS1,katDS1
537,"hold in the mouth, to",*ʔɤmA,ʔomA1,ʔumA1,ʔomA1,ɁomA1,,,,ʔamA1
538,"bite, to",*C̬.qɤpD,kʰopDS1,xupDS1,kʰopDS1,kʰopDS1,kʰo:pDS1,hapDS2,hapDS2,ɣapDS2
539,"nibble, to; peck, to",*tɔ:tD,tɔ:tDL1,totDL1,tɔ:tDL1,tɔtDL2,to:tDL1,totDL1,totDL1,tɔ:tDL1
540,"kiss, to",*cu:pD,cu:pDL1,cupDS1,cu:pDL1,cupDL1,cupDL1,cupDL1,supDS1,cu:pDL1
541,"yawn, to",*ʰra:wA,ha:wA1,ha:wA1,ha:wA1,ha:wA1,ha:wA1,ha:wA1,ra:wA1,ra:wA1
542,"blow, to",*powB,pawB1,,pɤwB1,pɤwB1,pawB1,pøB1,poB1,pʰɔ:B2
543,"snore, to",*klɤlA,kronA1 -i,konA1,cɤnA1,canA1 -v,,kanA1,,tlɛlA1
544,"cough, to",*ʔajA,ʔajA1,ʔajA1,ʔajA1,ɁajA1,ʔajA1,ɁajA1,ʔajA1,ʔajA1
545,"hold the breath, to",*klanC,klanC1,,canC1,,,,canC1,
546,"hug, to; embrace, to",*ko:tD,kɔ:tDL1,kotDL1,kɔ:tDL1,kɔtDL1,ko:tDL1,kotDL1,kotDL1,kɔ:tDL1
547,"build, to",*ko:B,kɔ:B1,,kɔ:B1,kɔB1,,,koB1,kɔ:B1
548,"close (the eyes), to",*ʰlapD,lapDS1,lapDS1,lapDS1,lapDS1,lapDS1,,lapDS1,
549,"lie down, to, sleep, to",*nwɯ:nA,nɔ:nA2,nonA2,nɔ:nA2,nɔnA2,no:nA2,nønA2,ninA2 -v,nu:nA2
550,"incubate, to",*wakD,fakDS2,,pʰakDS2,vakDS2,fakDS2,fakDS2,fakDS2,
551,"hold in the jaws, to",*ga:pD,kʰa:pDL2,ka:pDL2,,g̈a:pDL2,,,ka:pDL2,kʰa:pDL2
552,"hold in the closed hand, to",*kamA,kamA1,kamA1,kamA1,kamA1,kamA1,kamA1,kamA1,kamA1
553,"take up in the two cupped hands, to",*ko:pD,kɔ:pDL1,kopDL1,,kɔpDL1,,kopDL1,,
554,"pick up, to",*ˀjipD,jipDS1,jipDS1,,ɁepDS1,ʔipDS1,jipDS1,,
555,"grasp, to; perch, to",*capD,capDS1,capDS1,capDS1,capDS1,capDS1,,,capDS1
556,"squeeze, to",*galC,kʰanC2,,kanC2,ganC2,,,,kʰalC2
557,"pinch, to",*ʰni:pD,ni:pDL1,,,,nipDL1,nipDL1,nipDS1,ni:pDL1
558,"raise, to",*ɲɤkD,jokDS2,,ɲakDS2 -v,,,,jakDS2,ɲukDS2
559,"lift, to",*ɲo:A,jɔ:A2,ɲoA2,ɲɔ:A2,jɔA2 -i,,,joA1,
560,"carry in the arms, to",*ʔu:mC,ʔumC1,ʔumC1,ʔomC1,ɁumC1,ʔumC1,ɁomC1,ʔumC1,ʔu:mC1
561,"carry (a bag), to",*tri:wC,hiwC1,hiwC1,hiwC1,tʰiwC1,,tʰiwC1,riəwC1,ri:wC1
562,"carry on the back, to",*trwa:mA,ha:mA1,ha:mA1,ha:mA1,tʰa:mA1,ha:mA1,tʰa:mA1,ra:mA1,ra:mA1
563,"pull, to; drag, to",*C̬.la:kD,la:kDL2,laʔDL2,la:kDL2,la:kDL2,la:kDL2,,ra:kDL2,
564,"bend over, to",*kɤmC,komC1,kumC1,komC1,komC1,kumC1,komC1,,kamC1
565,"turn upside down or inside out, to",*pli:nC,plinC1,,pi:nC1,,,,pinC1,pli:nC1
566,"lean back, to",*ʔi:ŋA,ʔiŋA1,ʔiŋA1,ʔiŋA1,ɁiŋA1,,,ʔiŋA1,ʔiŋA1 -v
567,"point, to",*ɟi:C,cʰi:C2,ciC2,ci:C2,ziC2,,,,
568,"stroke, to; carress, to",*C̬.lu:pD,lu:pDL2,lupDS2,lu:pDL2,lupDL2,,lupDL2,rupDS2,lu:pDL2
569,"scratch, to",*kawA,kawA1,,,,kawA1,kawA1,kawA1,kawA1
570,"put, to",*s.cɤ:lB,sajB1,saɰB1,tʰɤɰB1,,,,soB1,cɔ:B1
571,"snap, to",*ɓli:tD,di:tDL1,bitDS1,,,,,,bli:tDL1
572,"stamp (on), to",*dɯ:pD,tʰɯ:pDL2,,,,,,,tʰɯ:pDL2
573,"step on, to (1)",*ɲamB,jamB2,,ɲamB2,ɲamB2,jamB2,,ɲamB2,
574,"step on, to (2)",*ˀjiǝpD,jiǝpDS1,,,,,,,jiəpDS2
575,"repeat, to",*zamC,samC2,samC2,,,,,,jamC2
576,"tremble, to",*salB,sanB1,sanB1,,ɬanB1,,,θanB1,sɛlB1
577,"shake, to",*C̥.wajA,wajA1,,vɤjA1,wɤjA1,,,,
578,"wrestle, to",*plamC,plamC1,,pjamC1,,,,,plamC1
579,"twist, to; wring, to",*ɓitD,bitDS1,,,bitDS1,bitDS1,bitDS1,,bitDS1
580,"stretch out, to",*ˀjiətD,jiətDL1,,jetDS1,jiətDL2,ji:tDL1,jitDL1,,
581,"sit, to",*naŋB,naŋB2,naŋB2,naŋB2,naŋB2,naŋB2,naŋB1,naŋB2,naŋB2
582,"come, to",*ʰma:A,ma:A2 -i,ma:A2 -i,ma:A2 -i,ma:A2 -i,ma:A2 -i,ma:A2 -i,maA1,ma:A1
583,"go, to",*pajA,pajA1,pajA1,pɤjA1,pɤjA1,pajA1,poyA1,pajA1,pajA1
584,"arrive, to",*C̬.tɤŋA,tʰɯŋA1,tʰɯŋA1,tʰɤŋA1,tʰɤŋA1,tʰɤŋA1,,taŋA2,tʰaŋA2
585,"go upward, to",*mɯəA,mɯəA2,,mɯəA2,mɯəA2,mɯ:A2,,,mɯəA2
586,ascend to,*χɯnC,kʰɯnC1,,kʰɯnC1,kʰɯnC1,kʰɤnC1,,hɯnC1,hɯnC1
587,"descend, to",*n̩.loŋA,loŋA2,,loŋA2,loŋA2,nuŋA2,noŋA2,roŋA2,lɔŋA2
588,"enter, to",*χawC,kʰawC1,xawC1,kʰawC1,kʰɤwC1,kʰawC1,hawC1,hawC1,hawC1
589,"exit, to",*ʔo:kD,ʔɔ:kDL1,ʔoʔDL1,ʔɔ:kDL1,ɁokDL1,ʔo:kDL1,ɁokDL1,ʔokDL1,ʔɔ:kDL1
590,"cross, to",*χa:mC,kʰa:mC1,xa:mC1,kʰa:mC1,kʰa:mC1,kʰa:mC1,ha:mC1,ha:mC1,ha:mC1
591,"cross over, to",*kwa:B,kwa:B1,kwa:B1,kwa:B1,kwa:B1,kwa:B1,kwa:B1,kwaB1,kwa:B1
592,"drop, to",*tokD,tokDS1,tukDS1,tokDS1,tokDS1,tukDS1,tokDS1,tokDS1,tɔkDS1
593,"fall off, to",*ʰlɤnB,lonB1,lonC1 -t,,lɤnB1,,lonB1,lanB1,
594,"fall down, to",*lɤmC,lomC2,lumC2,lomC2,lomC2,,lomC2,lamC2,lamC2
595,"slip and fall, to",*bla:tD,pʰla:tDL2,pʰa:tDL2 -i,pja:tDL2,b̤ja:tDL2,,,pja:tDL2,
596,"stand, to",*C̥.ɟɯ:nA,jɯ:nA1,jinA1,,,,,dɯnA1,
597,"walk, to",*pra:jC,pʰa:jC1,fa:jC1 -i,,pʰja:jC1,pʰja:jC1,pʰa:jC1,pja:jC1,
598,"fly, to",*ɓilA,binA1,binA1,bɤnA1,benA1 -v,binA1,bɤnA1,binA1,bɯlA1 -v
599,"crawl, to",*g.lwɤ:nA,kʰla:nA2,ca:nA2,,za:nA2,kja:nA2,lunA2,rɯənA2,luənA2
600,"crawl over, to",*twajB,ta:jB1,,tɤjB1,twɤjB1,,,,tajB1
601,"climb, to",*pi:nA,pi:nA1,pinA1,pi:nA1,pinA1,,,pinA1,pi:nA1
602,"flow, to",*ʰlwajA,lajA1,lajA1,lwɤjA1,lwɤjA1,lajA1,lajA1,lajA1,
603,"flood, to",*C̬.tuǝmB,tʰuǝmB2,tʰumC1,tʰuəmC1,tʰuəmC1,tʰu:mC1,tomC2,tumC2,tʰumB1
604,"spill, to",*ɓa:B,ba:B1,ba:B1,ba:B1,ba:B1,ba:B1,,,
605,"pour, to",*rwa:tD,ra:tDL2,,,rwa:tDL2,,,,rɔ:tDL1
606,"swim, to",*lo:jA,lɔ:jA2,lojA2,lɔ:jA2,lɔjA2,,,,
607,"float, to",*wu:A,fu:A2,,pʰu:A2,vu:A2,fu:A2,foA2 -v,fuA2,vu:A1
608,"sink, to",*cɤmA,comA1,cumA1,,,,,samA1,camA1
609,"dive, to",*ɗamA,damA2,damA1,damA1,damA1,,,,
610,"close, to",*hapD,hapDS1,hapDS1,,hapDS1,,hapDS1,hapDS1,
611,"revolve, to; spin, to",*panB,panB1,panB1,panB1,,panB1,panB1,panB1,
612,"go hungry, to",*ʔɤtD,ʔotDS1,,ʔotDS1,,,,ʔot4,
613,"hate, to",*ɟaŋA,cʰaŋA2,caŋA2,caŋA2,zaŋA2,caŋA2,saŋA2,saŋA2,saŋA2
614,"quit, to",*ˀja:B,ja:B1,,,ja:B1,,,,
615,"see, to",*tranA,henA1 -v,hinA1 -v,hanA1,hanA1,hanA1,tʰɤnA1 -v,ranA1,rɛnA1
616,"hear, to",*ŋinA,jinA2,ŋinA2,ŋinA2,ɲinA2,hinC2,,,
617,"taste, to",*ɟimA,cʰimA2,cimA2,ci:mA2,zimA2,cimA2,sɤmA2,simA2,
618,"smell (tr.), to",*ɗɤmA,domA1,dumA1,domA1,,,,,damA1
619,"forget, to",*lɯ:mA,lɯ:mA2,lumA2,lɯ:mA2,lumA2,lumA2,lomA2,lumA2,
620,"dream, to",*hwanA,fanA1,,pʰanA1,pʰanA1,,pʰanA1,,vanA2 -t
621,"believe, to",*ɟɯǝB,cʰɯǝB2,,,,,,,sɯəB2
622,"recognize, to",*cakD,cakDS1,cakDS1,,cakDS1,,,,cakDS1
623,"know, to",*rɯ:wC,ru:C2,huC2,ru:C2,,ɬu:C2,løC2,roC2,rɔ:C2
624,"be, to; b̩ecome, to",*m̩.pelA,penA2,pinA1,pɤnA1,b̤enA2,pinA2,,panA2,pʰalA2
625,"be (in a place), to",*ˀju:B,ju:B1,juB1,ju:B1,juB1,ju:B1,jawB1,juB1,ju:B1
626,"fear, to (1)",*ʰla:wA,,,la:wA1,la:wA1,la:wA1,,la:wA1,la:wA1
627,"fear, to (2)",*ja:nC,janC1 -v,ja:nC1,ja:nC1,ja:nC2,ja:nC1,,,
628,"itch, to (1)",*ɣalA,kʰanA2,xanA2,kʰanA2,,,,,ɣalA2
629,"itch, to (2)",*ɣomA,,,,,,homA2,humA2,ɣumA2
630,"seek, to",*kraA,ha:A1,,sa:A1,sa:A1,ha:A1,,raA1,ra:A1
631,"join, to",*to:B,tɔ:B1,,tɔ:B1,tɔB1,,,toB1,tɔ:B1
632,"divide, to",*panA,panA1,panA1,,,panA1,,,panA1
633,"separate, to",*bra:kD,pʰra:kDL2,,pja:kDL2,b̤ja:kDL2,pja:kDL2,,pja:kDL2,
634,"castrate, to",*to:nA,tɔ:nA1,tonA1,tɔ:nA1,tɔnA1,to:nA1,,tonA1,tɔ:nA1
635,"cut, to",*tacD,tatDS1,tatDS1,,tatDS1,tatDS1,tatDS1,tatDS1,tɛkDS1
636,"slash, to",*walA,fanA2,fanA2,pʰanA2,vanA2,,,fanA2,valA1 -t
637,"chop, to",*tramC,hamC1,hamC1,hamC1,tʰamC1,tʰamC1,tʰamA1 -t,ramC1,
638,"weed, to",*ɓla:jA,da:jA1,ba:jAA1,bja:jA1,bja:jA1,bja:jA1,ba:jA1,da:jA1,
639,"break, to",*t.rakD,hakDS1,hakDL2,hakDS1,takDS1,takDS1,tʰakDS1,rakDS1,rakDS1
640,"burst, to",*p.re:kD,tɛ:kDL1,teʔDL1,pʰɛ:kDL1,tʰeɛkDL1,pʰe:kDL1,tʰekDL1,tekDL1,pre:kDL1
641,"pluck, to",*C̥.decD,detDS1,,,,,,,rɛkDS1
642,"take down, to; put down, to",*ploŋA,ploŋA1,,,,pjuŋB1,,pjoŋA1,plɔŋA1
643,"peel, to",*po:kD,pɔ:kDL1,poʔDL1,pɔ:kDL1,pɔkDL1,po:kDL1,,pokDL1,
644,"hammer, to",*ɣo:lC,kʰɔ:nC2,,kʰɔ:nC2,,ko:nC2,,honC2,ɣɔ:lC2
645,"pound, to",*tamA,tamA1,tamA1,tamA1,tamA1,,tamA1,tamA1,tamA1
646,"pound (rice), to",*zo:mC,sɔ:mC2,somC2,tʰɔ:mC2,,ɬo:mC2,,,
647,"slap, to",*tɤpD,topDS1,tupDS1,tɤpDS1,topDS1,tupDS1,,,tapDS1
648,"pound, to (2)",*dupA,tʰup4,,,d̤upDS2,,,tupDS2,
649,"pound, to (1)",*to:kD,tɔ:kDL1,toʔDL1,tɔ:kDL1,tɔkDL1,,,tokDL1,tɔ:kDL1
650,"come into contact, to",*C̬.tɯ:kD,tʰu:kDL1,tʰuʔDL1,tʰu:kDL1,tʰukDL1,tʰukDL1,,tɯkDS2,tʰɯkDL1
651,"tie, to",*cm̩.rukD,pʰu:kDL1,fuʔDL1 -i,pʰju:kDL1,pʰu:kDL1,pʰukDS1,sukDL2,sukDS2,
652,"tie up, to",*la:mB,la:mB2,,la:mB2,la:mB2,la:mB2,la:mB2,,la:mB2
653,"undo, to; untie, to",*ke:C,kɛ:C1,keC1,kɛ:C1,kɛC1,ke:C1,,,ke:C1
654,"fold, to",*bapD,pʰapDS2,,,b̤apDS2,,,papDS2,pʰapDS2
655,"fold double, to",*dopD,tʰopDS2,tupDS2,topDS2,d̤opDS2,,topDS2,,tʰopDS2
656,"stretch, to",*ɲɯ:tD,jɯ:tDL2,,jɯ:tDL2 -i,ɲutDL2,,,,
657,"erect, to",*taŋC,taŋC1,taŋC1,taŋC1,taŋC1,taŋC1,,taŋC1,taŋC1
658,"plug (a hole), to",*ʔwɯtD,ʔutDS1,ʔutDS1,ʔotDS1,ɁotDS1,ʔutDS1,,,ʔɔtDS1
659,"salt, to",*ʔɯǝpD,,,ʔɯəpDL1,ɁɯəpDL1,ʔɤ:pDS1,,,ʔɯǝpDS2
660,"pickle, to",*ɗo:ŋA,dɔ:ŋA1,,,,,,doŋA1,dɔ:ŋA1
661,"soak, to (2)",*ʰma:B,ma:B1,ma:B1,ma:B1,ma:B1,,,maB1,ma:B1
662,"scoop, to",*takD,takDS1,takDS1,takDS1,takDS1,takDS1,takDS1,takDS1,takDS1
663,"soak, to (1)",*ɟe:B,cʰɛ:B2,,cɛ:B2,zɛB2,,,seB2,se:B2
664,"burn (intr.), to",*ʰmajC,majC1,majC1,mɤjC1,mɤjC1,majC1,,,
665,"burn (tr.), to",*prawA,pʰawA1,,pʰjɤwA1,pʰjɤwA1,,,piəwA1,pʰrawA1
666,"roast, to",*ˀjɯəŋC,ja:ŋC1,ja:ŋB2,ja:ŋB2,ja:ŋC1 -t,,,jiəŋC2,juəŋC1
667,"boil (tr.), to",*tomC,tomC1,tumC1,tomC1,tomC1,tumC1,tomC1,tumB1,
668,"boil (intr.), to",*ɗɤ:tD,dɯǝt2,,,dɯətDL1,dɤ:tDL1,dutDL1,da:tDL1,da:tDL1
669,"scald, to",*luəkD,luəkDL2,luʔDL2,luəkDL2,,lu:kDL2,,lukDS1,luəkDL2
670,"cook (rice), to",*truŋA,huŋA1,,huŋA1,huŋA1,huŋA1,tʰoŋA1,ruŋA1,ruŋA1
671,"steam, to",*ʰnɯŋC,nɯŋC1,nuŋA2 -t,nɯŋC1,nɯŋC1,,naŋC1,naŋC1,nɯŋC1
672,"make a fire, to",*ɗaŋA,,daŋC1 -t,daŋA1,daŋA1,daŋA1,daŋA1,,
673,"extinguish, to",*ɗapD,dapDS1,dapDS1,dapDS1,dapDS1,dapDS1,dapDS1,dapDS1,dapDS1
674,"roof, to",*mwuŋA,muŋA2,muŋA2,muŋA2,muŋA2,fuŋA2,,foŋA2,
675,"cover (with cloth), to",*hɤmB,homB1,,homB1,homB1,humB1,homB1,,hamB1
676,"deceive, to",*bra:ŋA,pʰra:ŋA2,pa:ŋA2,pja:ŋA2,,pja:ŋA2,,,
677,"buy, to",*z.ɟɯ:C,sɯ:C2,sɯC2,tʰɯ:C2,rɯC2,ɬɯ:C2,soyC2,sɯC2,sɯ:C2
678,"sell, to",*p.qa:j,kʰa:jA1,xa:jA1,kʰa:jA1,kʰa:jA1,kʰa:jA1,ha:jA1,ka:jA1,kwa:jA1
679,"borrow, to",*ˀjɯ:mA,jɯ:mA1,,,jɯmA1,jimA1,jomA1 -v,,
680,"defeat, to; be defeated, to",*be:C,pʰɛ:C2,,pɛ:C2,,,,peB2,pʰɛ:B2
681,"have, to",*mi:A,mi:A2,miA2,,miA2,mi:A2,moyA2,miA2,mi:A2
682,"take, to",*ʔawA,ʔawA1,ʔawA1,ʔawA1,,ʔawA1,ɁawA1,ʔawA1,ʔawA1
683,"obtain, to",*ɗajC,da:jC1,dajC1,dajC1 -v,dajC1 -v,dajC1,ɁajC1 -i,dajC2,dajC1
684,"pick, to",*kepD,kepDS1,,kopDS1,kepDS1,kipDS1,,cipDS1,kipDS1
685,"steal, to",*C̬.lakD,lakDS2,lakDS2,lakDS2,lakDS2,lakDS2,,rakDS2,lakDS2
686,"give, to",*haɰC,hajC1,haɰC1,hɤɰC1,hɤɰC1,hɯ:C1 -v,hoyC1,haɰC1,hɤ:C1
687,"dust off, to",*pacD,patDS1,,,patDS1,patDS1,,patDS1,pɛkDS1
688,"sweep, to",*kwa:tD,kwa:tDL1,,,,,,kwa:tDL1,kwa:tDL1
689,"wipe, to",*ɟetD,cʰetDS2,,cetDS2,,,,,sɛtDS2
690,"rinse, to",*C.lwɤ:ŋC,la:ŋC2,la:ŋC2,la:ŋC2,,la:ŋC2,,rɯəŋC2,
691,"wash (clothes), to",*zakD,sakDS2,sakDL2,tʰakDS2,rakDS2,ɬakDS2,,θakDS2,jakDS2
692,"wash, to",*za:wA,sa:wA2,,,ra:wA2,ɬa:wA2,ɬa:wA2,,
693,"bathe, to",*ʔa:pD,ʔa:pDL1,ʔa:pDL1,ʔa:pDL1,Ɂa:pDL1,ʔa:pDL1,,ʔa:pDL1,ʔa:pDL1
694,"teach, to",*so:lA,sɔ:nA1,,tʰɔ:nA1,,ɬo:nA1,ɬønA1,,sɔ:lA1
695,"rest, to",*bakD,pʰakDS2,,,b̤akDS2,pakDS2,pakDS2,,
696,"wait, to",*cra:C,tʰa:C1,tʰa:C1,tʰa:C1,tʰa:C1,,,saC1,tʰa:C1
697,"be left over, to",*ʰlɯəA,lɯəA1,,lɯəA1,lɯəA1,lɯ:B1,,lɯəA1,luəA1
698,"leak, to",*rwo:B,ruəB2,huB2,ruəB2,ruəB2,ɬu:B2,luB1,roB2,rɔ:B2
699,"awaken (someone), to",*plokD,plukDS1 -v,pukDS1,pjokDS1,pjokDS2,pjukDS1,,pjokDS1,plukDS1 -v
700,"wake up, to",*k.tɯ:nB,tɯ:nB1,tɯnB1,tɯ:nB1,tɯnB1,,,rɯnB1,
701,"grow, to; rise, to",*ʰma:C,,ma:C1,,ma:C1,ma:C1,,maC1,
