No.,Gloss,PT,Siamese,Sapa,Bao Yen,Cao Bang,Lungchow,Shangsi,Yay,Saek
107,small shrimp,*ŋiəwA,,,,,ji:wA2,ŋi:wA2,,
108,frog,*kɤpD,kopDS1,kupDS1,kopDS1,kopDS1,kupDS1,kopDS1,kapDS1,kapDS1
109,small frog,*krwe:C,,,,,,,kweC1,tʰrɛ:C1
110,tree frog,*pa:tD,pa:tDL1,pa:tDL1,pa:tDL1,pa:tDL1,,,pa:tDL1,
111,turtle,*tawB,tawB1,tawB1,tɤwB1,tɤwB1,,tawB1,,
112,water tortoise,*ʰwɯəA,fa:A1,fa:A1,pʰa:A1,pʰa:A1,,pʰyA1,,viəC1
113,snake,*ŋwɯ:A,ŋu:A2,ŋuA2,ŋu:A2,ŋuA2,ŋu:A2,ŋyA2,ŋɯəA2,ŋuəA2
114,crocodile,*ŋɯəkD,ŋɯəkDL2,ŋɯʔDL2,ŋɯəkDL2,,ŋɤ:kDL2,ŋykDL2,ŋɯəkDL2,ŋuəkDL2
115,land leech,*da:kD,tʰa:kDL2,taʔDL2,ta:kDL2,d̤a:kDL2,tekDL2 -v,,ta:kDL1,tʰa:kDL2
116,aquatic leech,*pli:ŋA,pliŋA1,piŋA1,piŋA1,piŋA1,piŋA1,pɤŋA1,piŋA1,pi:ŋA1
117,bedbug,*C̬.rɯətD,rɯətDL2,,rɯətDL2,lɯətDL2,lɤ:tDL2,lutDL2,,ruətDL2
118,grasshopper,*p.takD,takDS2,takDS1,,tʰakDS1,,tʰakDS1,takDS1,
119,mosquito,*ɲuŋA,juŋA2,ɲuŋA2,ɲuŋA2,ɲuŋA2,juŋA2,ɲoŋA2,ɲuŋA2,ɲuŋA2
120,wasp,*b.twi:lA,tɛ:nA2,tenA1,pʰɛ:nA1,tʰɛnA1,pʰe:nA1,tinA2,tinA2,tʰi:lA2
121,bee,*to:B,tɔ:B1,toB1,tɔ:B1,tɔB1,to:B1,tøB1,,tɔ:B1
122,insect,*m.le:ŋA,lɛ:ŋA2,meŋA2,mje:ŋA2,mɛŋA2,me:ŋA2,meŋA2,neŋA2,mɛ:ŋA2
123,ant,*mɤcD,motDS2,mutDS2,motDS2,mɤtDS2,mɤtDS2,motDS2,matDS2,mɛkDS2
124,termite,*mo:tD,mɔ:tDL2,,mɔ:tDL2,mɔtDL2,,motDL2,motDL2,mɔ:tDL2
125,worm,*ʰno:lA,nɔ:nA1,nonA1,,nɔnA1,no:nA1,nønA1,nonA1,nɔ:lA1
126,earthworm,*t.nɯəlA,dɯənA1,dɯənA1,,dɯənA1,dɤ:nA1,nunA1,dɯənA1,truəlA1
127,gadfly,*ʰlɯəkD,lɯəpDL1 -f,,lɯəkDL1,lɯəpDL1 -f,,,lɯəkDL1,
